sep=,
Sitecore.ExperienceForms.Analytics.dll,2.0.0.0,2.0.0.0
Sitecore.ExperienceForms.Client.dll,2.0.0.0,2.0.0.0
Sitecore.ExperienceForms.Data.SqlServer.dll,2.0.0.0,2.0.0.0
Sitecore.ExperienceForms.dll,2.0.0.0,2.0.0.0
Sitecore.ExperienceForms.Mvc.dll,2.0.0.0,2.0.0.0
Sitecore.ExperienceForms.SubmitActions.dll,2.0.0.0,2.0.0.0
Sitecore.Framework.Common.Abstractions.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Common.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Common.Extensions.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Common.WildcardMatch.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Conditions.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Configuration.Abstractions.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.Common.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.Extensions.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.Xml.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Messaging.Abstractions.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Configuration.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.Azure.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.Configuration.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.SqlServer.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Rules.Abstractions.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.Api.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.Core.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.Model.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.Registry.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.Serialization.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.TransientFaultHandling.Abstractions.dll,2.1.0.0,2.1.0.0
Sitecore.Framework.TransientFaultHandling.dll,2.1.0.0,2.1.0.0
Sitecore.Framework.TransientFaultHandling.EntLib.dll,2.1.0.0,2.1.0.0
Sitecore.Framework.TransientFaultHandling.Sql.dll,2.1.0.0,2.1.0.0
Sitecore.FXM.Client.dll,5.0.0.0,5.0.0.0
Sitecore.FXM.dll,5.0.0.0,5.0.0.0
Sitecore.FXM.Service.dll,5.0.0.0,5.0.0.0
Sitecore.FXM.Speak.dll,5.0.0.0,5.0.0.0
Sitecore.ItemWebApi.dll,3.0.0.0,3.0.0.0
Sitecore.Kernel.dll,12.0.0.0,12.0.0.0
Sitecore.LaunchPad.dll,3.0.0.0,3.0.0.0
Sitecore.ListManagement.Client.dll,3.0.0.0,3.0.0.0
Sitecore.ListManagement.dll,3.0.0.0,3.0.0.0
Sitecore.ListManagement.Services.dll,3.0.0.0,3.0.0.0
Sitecore.ListManagement.XConnect.dll,3.0.0.0,3.0.0.0
Sitecore.ListManagement.XConnect.Web.dll,3.0.0.0,3.0.0.0
Sitecore.Logging.Client.dll,12.0.0.0,12.0.0.0
Sitecore.Logging.dll,12.0.0.0,12.0.0.0
Sitecore.Marketing.Automation.Activity.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Automation.ActivityDescriptors.Client.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Automation.ActivityDescriptors.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Automation.Client.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Automation.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Automation.Models.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Campaigns.Client.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Campaigns.Services.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Client.dll,12.0.0.0,12.0.0.0
Sitecore.Marketing.Core.dll,13.0.0.0,13.0.0.0
Sitecore.Marketing.Definitions.MarketingAssets.Repositories.dll,12.0.0.0,12.0.0.0
Sitecore.Marketing.dll,13.0.0.0,13.0.0.0
Sitecore.Marketing.Operations.Xdb.ReferenceData.dll,13.1.0.0,13.1.0.0
Sitecore.Marketing.Operations.Xdb.ReferenceData.Model.dll,13.1.0.0,13.1.0.0
Sitecore.Marketing.Operations.Xdb.ReferenceData.Service.dll,13.1.0.0,13.1.0.0
Sitecore.Marketing.Search.dll,13.1.0.0,13.1.0.0
Sitecore.Marketing.Segmentation.xMgmt.dll,5.0.0.0,5.0.0.0
Sitecore.Marketing.Taxonomy.dll,13.0.0.0,13.0.0.0
