sep=,
Filename,Version,FileVersion,InfoVersion
Sitecore.Processing.Engine.Storage.Abstractions.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.Storage.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.Storage.Sql.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.Storage.WebApi.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Tasks.Abstractions.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Tasks.Options.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Tasks.Sql.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Reporting.Client.dll,3.0.0.0,3.0.0.0,3.0.0-r00139.61
Sitecore.Reporting.Core.dll,3.0.0.0,3.0.0.0,3.0.0-r00139.61
Sitecore.Reporting.Data.Abstractions.dll,3.0.0.0,3.0.0.0,3.0.0-r00139.61
Sitecore.Reporting.Data.Sql.dll,3.0.0.0,3.0.0.0,3.0.0-r00139.61
Sitecore.Reporting.Service.Abstractions.dll,3.0.0.0,3.0.0.0,3.0.0-r00139.61
Sitecore.Reporting.Service.Data.dll,3.0.0.0,3.0.0.0,3.0.0-r00139.61
Sitecore.Reporting.TypeGenerator.dll,3.0.0.0,3.0.0.0,3.0.0-r00139.61
Sitecore.Reporting.Web.dll,3.0.0.0,3.0.0.0,3.0.0-r00139.61
Sitecore.Reporting.Web.XConnect.dll,3.0.0.0,3.0.0.0,3.0.0-r00139.61
Sitecore.XConnect.Client.Configuration.XConnect.dll,5.0.0.0,5.0.0.0,5.0.0-r00109.1741
Sitecore.XConnect.Client.dll,5.0.0.0,5.0.0.0,5.0.0-r00333.2391
Sitecore.XConnect.Collection.Model.dll,5.0.0.0,5.0.0.0,5.0.0-r00333.2391
Sitecore.XConnect.Collection.Model.Plugins.dll,5.0.0.0,5.0.0.0,5.0.0-r00333.2391
Sitecore.XConnect.Configuration.dll,3.3.0.0,3.3.0.0,3.3.0-r00114.1164
Sitecore.XConnect.Core.dll,3.1.0.0,3.1.0.0,3.1.0-r00256.1465
Sitecore.XConnect.DependencyInjection.dll,3.3.0.0,3.3.0.0,3.3.0-r00114.1164
Sitecore.XConnect.DependencyInjection.Web.dll,3.3.0.0,3.3.0.0,3.3.0-r00114.1164
Sitecore.XConnect.Diagnostics.ApplicationInsights.dll,3.3.0.0,3.3.0.0,3.3.0-r00114.1164
Sitecore.XConnect.Diagnostics.dll,3.3.0.0,3.3.0.0,3.3.0-r00114.1164
Sitecore.XConnect.Diagnostics.PerformanceCounters.dll,3.3.0.0,3.3.0.0,3.3.0-r00114.1164
Sitecore.XConnect.dll,5.0.0.0,5.0.0.0,5.0.0-r00333.2391
Sitecore.XConnect.HealthCheck.WebApi.dll,5.0.0.0,5.0.0.0,5.0.0-r00333.2391
Sitecore.XConnect.Hosting.dll,5.0.0.0,5.0.0.0,5.0.0-r00333.2391
Sitecore.XConnect.Hosting.OwinSelfHost.dll,5.0.0.0,5.0.0.0,5.0.0-r00333.2391
Sitecore.XConnect.Logging.Serilog.AppInsights.dll,3.3.0.0,3.3.0.0,3.3.0-r00114.1164
Sitecore.XConnect.Logging.Serilog.dll,3.3.0.0,3.3.0.0,3.3.0-r00114.1164
